run_id,scenario_id,capture_session_id,topology_id,traffic_tool,attack_protocol,attack_rate,attacker_count,target_host,start_time,end_time,duration_sec,commands,n_flows_exported,notes
run_20260815_122322_1d712a1f,normal_ping_iperf_light,session_20260815_122315,custom_topo_2s6h_v1,ping/iperf/nmap,none,,0,10.0.0.4,2026-08-15 12:23:22,2026-08-15 12:24:03,30,"[[""h1"", ""timeout 30 ping -i 0.5 10.0.0.4 &""], [""h2"", ""timeout 30 ping -i 0.8 10.0.0.5 &""], [""h2"", ""iperf -s -p 5001 &""], [""h1"", ""timeout 25 iperf -c 10.0.0.2 -p 5001 -t 20 &""]]",200,label=normal
run_20260815_122411_6538e8d8,portscan_nmap_h4_h1,session_20260815_122315,custom_topo_2s6h_v1,ping/iperf/nmap,tcp_syn_scan,max-rate=200,1,10.0.0.1,2026-08-15 12:24:11,2026-08-15 12:24:57,35,"[[""h4"", ""timeout 35 nmap -sS -p 1-512 --max-rate 200 10.0.0.1 &""]]",59,label=portscan
run_20260815_122501_e3b980d8,portscan_nmap_h5_h2,session_20260815_122315,custom_topo_2s6h_v1,ping/iperf/nmap,tcp_syn_scan,max-rate=150,1,10.0.0.2,2026-08-15 12:25:01,2026-08-15 12:25:42,30,"[[""h5"", ""timeout 30 nmap -sS -p 1-256 --max-rate 150 10.0.0.2 &""]]",3629,label=portscan
run_20260815_122606_9272fa0e,ddos_syn_single_h4_h1,session_20260815_122558,custom_topo_2s6h_v1,hping3,tcp_syn,u2000,1,10.0.0.1,2026-08-15 12:26:06,2026-08-15 12:26:36,25,"[[""h4"", ""timeout 25 hping3 -S -i u2000 -p 80 10.0.0.1 &""]]",2205,independent_lab_run; not bootstrap; cleaned_attacker_target packet_count>0 (4193->0)
run_20260815_122654_b7d228f2,ddos_syn_multi_h4h5_h1h2,session_20260815_122558,custom_topo_2s6h_v1,hping3,tcp_syn,u2000,2,10.0.0.1;10.0.0.2,2026-08-15 12:26:54,2026-08-15 12:27:24,25,"[[""h4"", ""timeout 25 hping3 -S -i u2000 -p 80 10.0.0.1 &""], [""h5"", ""timeout 25 hping3 -S -i u2000 -p 443 10.0.0.2 &""]]",2759,independent_lab_run; not bootstrap; cleaned_attacker_target packet_count>0 (5941->0)
run_20260815_122824_72fd881d,ddos_syn_single_h4_h1,session_20260815_122805,custom_topo_2s6h_v1,hping3,tcp_syn,u2000,1,10.0.0.1,2026-08-15 12:28:24,2026-08-15 12:28:54,25,"[[""h4"", ""timeout 25 hping3 -S -i u2000 -p 80 10.0.0.1 &""]]",2152,independent_lab_run; not bootstrap; cleaned_attacker_target packet_count>0 (4720->1542)
run_20260815_122912_8222a689,ddos_syn_multi_h4h5_h1h2,session_20260815_122805,custom_topo_2s6h_v1,hping3,tcp_syn,u2000,2,10.0.0.1;10.0.0.2,2026-08-15 12:29:12,2026-08-15 12:29:42,25,"[[""h4"", ""timeout 25 hping3 -S -i u2000 -p 80 10.0.0.1 &""], [""h5"", ""timeout 25 hping3 -S -i u2000 -p 443 10.0.0.2 &""]]",2278,independent_lab_run; not bootstrap; cleaned_attacker_target packet_count>0 (5105->1668)
run_20260815_122956_43f6d674,ddos_udp_h5_h1,session_20260815_122805,custom_topo_2s6h_v1,hping3,udp,u2000,1,10.0.0.1,2026-08-15 12:29:56,2026-08-15 12:30:26,25,"[[""h5"", ""timeout 25 hping3 --udp -i u2000 -p 53 10.0.0.1 &""]]",2301,independent_lab_run; not bootstrap; cleaned_attacker_target packet_count>0 (4669->1526)
run_20260815_123039_92a76a07,ddos_icmp_multi_h4h6_h1h3,session_20260815_122805,custom_topo_2s6h_v1,hping3,icmp,u2000,2,10.0.0.1;10.0.0.3,2026-08-15 12:30:39,2026-08-15 12:31:04,20,"[[""h4"", ""timeout 20 hping3 --icmp -i u2000 10.0.0.1 &""], [""h6"", ""timeout 20 hping3 --icmp -i u2000 10.0.0.3 &""]]",631,independent_lab_run; not bootstrap; cleaned_attacker_target packet_count>0 (3376->620)
run_20260815_123118_8db37024,ddos_syn_slow_h4_h2,session_20260815_122805,custom_topo_2s6h_v1,hping3,tcp_syn,u5000,1,10.0.0.2,2026-08-15 12:31:18,2026-08-15 12:31:53,30,"[[""h4"", ""timeout 30 hping3 -S -i u5000 -p 8080 10.0.0.2 &""]]",0,independent_lab_run; not bootstrap; cleaned_attacker_target packet_count>0 (5260->0)
run_20260815_123206_c0a29e94,ddos_udp_multi_h5h6_h2h3,session_20260815_122805,custom_topo_2s6h_v1,hping3,udp,u2000,2,10.0.0.2;10.0.0.3,2026-08-15 12:32:06,2026-08-15 12:32:37,25,"[[""h5"", ""timeout 25 hping3 --udp -i u2000 -p 53 10.0.0.2 &""], [""h6"", ""timeout 25 hping3 --udp -i u2000 -p 123 10.0.0.3 &""]]",2,independent_lab_run; not bootstrap; cleaned_attacker_target packet_count>0 (4749->2)
run_20260815_123451_6b7e81a3,normal_ping_iperf_light,session_20260815_123331,custom_topo_2s6h_v1,ping/iperf/nmap,none,,0,10.0.0.4,2026-08-15 12:34:51,2026-08-15 12:35:32,30,"[[""h1"", ""timeout 30 ping -i 0.5 10.0.0.4 &""], [""h2"", ""timeout 30 ping -i 0.8 10.0.0.5 &""], [""h2"", ""iperf -s -p 5001 &""], [""h1"", ""timeout 25 iperf -c 10.0.0.2 -p 5001 -t 20 &""]]",153,label=normal
