ip_proto,tp_src,tp_dst,packet_count,byte_count,duration_sec,packet_count_per_sec,byte_count_per_sec,packet_size_avg,flow_duration,label
6,56272,4472,0,0,10,0.0,0.0,0.0,10.101,2
6,56272,1323,0,0,0,0.0,0.0,0.0,0.616,2
6,56272,37332,0,0,15,0.0,0.0,0.0,15.465,2
6,56272,65395,0,0,10,0.0,0.0,0.0,10.543,2
6,56272,59898,0,0,8,0.0,0.0,0.0,8.231,2
6,56272,64193,0,0,0,0.0,0.0,0.0,0.323,2
6,56272,62476,0,0,10,0.0,0.0,0.0,10.468,2
1,0,0,1,98,23,0.0424,4.1555,98.0,23.583,1
6,56272,35256,0,0,15,0.0,0.0,0.0,15.381,2
6,56272,65072,0,0,0,0.0,0.0,0.0,0.616,2
6,56272,26947,0,0,15,0.0,0.0,0.0,15.38,2
6,56272,16066,0,0,10,0.0,0.0,0.0,10.58,2
6,56272,34529,0,0,0,0.0,0.0,0.0,0.29,2
6,56272,37777,0,0,0,0.0,0.0,0.0,0.478,2
6,56272,46555,0,0,10,0.0,0.0,0.0,10.494,2
6,56272,11652,0,0,20,0.0,0.0,0.0,20.659,2
6,56272,2819,0,0,5,0.0,0.0,0.0,5.09,2
6,56272,31308,0,0,10,0.0,0.0,0.0,10.37,2
6,56274,41689,0,0,1,0.0,0.0,0.0,1.565,2
6,56272,40996,0,0,0,0.0,0.0,0.0,0.125,2
6,56272,7871,0,0,20,0.0,0.0,0.0,20.241,2
1,0,0,2,196,8,0.2329,22.8279,98.0,8.586,1
6,56272,17107,0,0,15,0.0,0.0,0.0,15.59,2
6,56272,32741,0,0,5,0.0,0.0,0.0,5.3,2
6,56272,13286,0,0,0,0.0,0.0,0.0,0.455,2
6,56272,80,0,0,0,0.0,0.0,0.0,0.676,2
6,56272,64754,0,0,20,0.0,0.0,0.0,20.637,2
6,56272,30951,0,0,15,0.0,0.0,0.0,15.083,2
6,56272,7909,0,0,15,0.0,0.0,0.0,15.439,2
6,56272,53575,0,0,15,0.0,0.0,0.0,15.055,2
6,56272,821,0,0,5,0.0,0.0,0.0,5.533,2
6,56274,14485,0,0,3,0.0,0.0,0.0,3.22,2
