model,held_out_scenario,n_test,accuracy,f1_macro
random_forest,B_10M_m,49,1.0,1.0
random_forest,B_10M_t,49,1.0,1.0
random_forest,B_1M_m,49,0.9387755102040817,0.4842105263157895
random_forest,B_1M_t,48,0.9791666666666666,0.49473684210526314
random_forest,B_20M_m,51,1.0,1.0
random_forest,B_20M_t,49,1.0,1.0
random_forest,B_2M_m,48,0.9791666666666666,0.49473684210526314
random_forest,B_2M_t,49,1.0,1.0
random_forest,B_5M_m,47,1.0,1.0
random_forest,B_5M_t,50,0.96,0.4897959183673469
random_forest,D_100ms_m,49,1.0,1.0
random_forest,D_100ms_t,47,1.0,1.0
random_forest,D_10ms_m,49,1.0,1.0
random_forest,D_10ms_t,48,0.9375,0.4838709677419355
random_forest,D_200ms_m,67,0.5074626865671642,0.33663366336633666
random_forest,D_200ms_t,49,1.0,1.0
random_forest,D_25ms_m,48,1.0,1.0
random_forest,D_25ms_t,50,0.96,0.4897959183673469
random_forest,D_50ms_m,49,0.9795918367346939,0.4948453608247423
random_forest,D_50ms_t,50,1.0,1.0
random_forest,L_10pct_m,49,1.0,1.0
random_forest,L_10pct_t,49,1.0,1.0
random_forest,L_1pct_m,48,1.0,1.0
random_forest,L_1pct_t,48,1.0,1.0
random_forest,L_20pct_m,49,1.0,1.0
random_forest,L_20pct_t,49,1.0,1.0
random_forest,L_3pct_m,48,0.9791666666666666,0.49473684210526314
random_forest,L_3pct_t,48,1.0,1.0
random_forest,L_5pct_m,51,1.0,1.0
random_forest,L_5pct_t,61,1.0,1.0
random_forest,N_high,68,0.0,0.0
random_forest,N_http,49,1.0,1.0
random_forest,N_low,50,1.0,1.0
random_forest,N_ping,48,1.0,1.0
random_forest,N_tcp,49,0.0,0.0
random_forest,N_udp,49,1.0,1.0
random_forest,_pooled,1808,0.9092920353982301,0.8257205999905957
xgboost,B_10M_m,49,1.0,1.0
xgboost,B_10M_t,49,1.0,1.0
xgboost,B_1M_m,49,0.9183673469387755,0.4787234042553192
xgboost,B_1M_t,48,0.9375,0.4838709677419355
xgboost,B_20M_m,51,1.0,1.0
xgboost,B_20M_t,49,1.0,1.0
xgboost,B_2M_m,48,0.9583333333333334,0.48936170212765956
xgboost,B_2M_t,49,1.0,1.0
xgboost,B_5M_m,47,1.0,1.0
xgboost,B_5M_t,50,0.88,0.46808510638297873
xgboost,D_100ms_m,49,1.0,1.0
xgboost,D_100ms_t,47,0.9787234042553191,0.4946236559139785
xgboost,D_10ms_m,49,1.0,1.0
xgboost,D_10ms_t,48,0.9791666666666666,0.49473684210526314
xgboost,D_200ms_m,67,0.4925373134328358,0.33
xgboost,D_200ms_t,49,1.0,1.0
xgboost,D_25ms_m,48,1.0,1.0
xgboost,D_25ms_t,50,0.86,0.46236559139784944
xgboost,D_50ms_m,49,0.9795918367346939,0.4948453608247423
xgboost,D_50ms_t,50,1.0,1.0
xgboost,L_10pct_m,49,1.0,1.0
xgboost,L_10pct_t,49,1.0,1.0
xgboost,L_1pct_m,48,1.0,1.0
xgboost,L_1pct_t,48,1.0,1.0
xgboost,L_20pct_m,49,1.0,1.0
xgboost,L_20pct_t,49,0.9591836734693877,0.4895833333333333
xgboost,L_3pct_m,48,1.0,1.0
xgboost,L_3pct_t,48,1.0,1.0
xgboost,L_5pct_m,51,1.0,1.0
xgboost,L_5pct_t,61,0.9836065573770492,0.49586776859504134
xgboost,N_high,68,0.0,0.0
xgboost,N_http,49,1.0,1.0
xgboost,N_low,50,1.0,1.0
xgboost,N_ping,48,1.0,1.0
xgboost,N_tcp,49,0.0,0.0
xgboost,N_udp,49,1.0,1.0
xgboost,_pooled,1808,0.900995575221239,0.8138649964484858
rule_based,B_10M_m,49,0.0,0.0
rule_based,B_10M_t,49,0.0,0.0
rule_based,B_1M_m,49,0.0,0.0
rule_based,B_1M_t,48,0.041666666666666664,0.04
rule_based,B_20M_m,51,0.0,0.0
rule_based,B_20M_t,49,0.0,0.0
rule_based,B_2M_m,48,0.0,0.0
rule_based,B_2M_t,49,0.10204081632653061,0.09259259259259259
rule_based,B_5M_m,47,0.0,0.0
rule_based,B_5M_t,50,0.0,0.0
rule_based,D_100ms_m,49,0.0,0.0
rule_based,D_100ms_t,47,0.0,0.0
rule_based,D_10ms_m,49,0.0,0.0
rule_based,D_10ms_t,48,0.0,0.0
rule_based,D_200ms_m,67,0.0,0.0
rule_based,D_200ms_t,49,0.0,0.0
rule_based,D_25ms_m,48,0.0,0.0
rule_based,D_25ms_t,50,0.0,0.0
rule_based,D_50ms_m,49,0.0,0.0
rule_based,D_50ms_t,50,0.0,0.0
rule_based,L_10pct_m,49,0.0,0.0
rule_based,L_10pct_t,49,0.0,0.0
rule_based,L_1pct_m,48,0.0,0.0
rule_based,L_1pct_t,48,0.0,0.0
rule_based,L_20pct_m,49,0.0,0.0
rule_based,L_20pct_t,49,0.0,0.0
rule_based,L_3pct_m,48,0.0,0.0
rule_based,L_3pct_t,48,0.0,0.0
rule_based,L_5pct_m,51,0.0,0.0
rule_based,L_5pct_t,61,0.0,0.0
rule_based,N_high,68,1.0,1.0
rule_based,N_http,49,1.0,1.0
rule_based,N_low,50,0.96,0.4897959183673469
rule_based,N_ping,48,1.0,1.0
rule_based,N_tcp,49,1.0,1.0
rule_based,N_udp,49,1.0,1.0
rule_based,_pooled,1808,0.17588495575221239,0.1519080431979368
