model,label,precision,recall,f1,support
random_forest,normal,0.7396226415094339,0.6261980830670927,0.6782006920415224,313
random_forest,bandwidth,0.3464052287581699,0.32515337423312884,0.33544303797468356,489
random_forest,loss,0.23867595818815332,0.274,0.25512104283054005,500
random_forest,delay,0.27450980392156865,0.2766798418972332,0.2755905511811024,506
xgboost,normal,0.7050359712230215,0.6261980830670927,0.6632825719120136,313
xgboost,bandwidth,0.33905579399141633,0.3231083844580777,0.3308900523560209,489
xgboost,loss,0.2521150592216582,0.298,0.27314390467461047,500
xgboost,delay,0.25792811839323465,0.24110671936758893,0.24923391215526047,506
rule_based,normal,0.17287381878821567,0.9936102236421726,0.29450757575757575,313
rule_based,bandwidth,0.7777777777777778,0.014314928425357873,0.028112449799196786,489
rule_based,loss,0.0,0.0,0.0,500
rule_based,delay,0.0,0.0,0.0,506
