model,label,precision,recall,f1,support
random_forest,normal,0.9590163934426229,0.9212598425196851,0.9397590361445783,254
random_forest,fault,0.9844961240310077,0.9921875,0.9883268482490273,1280
svm,normal,0.9183673469387755,0.8858267716535433,0.9018036072144289,254
svm,fault,0.9775019394879751,0.984375,0.9809264305177112,1280
xgboost,normal,0.950207468879668,0.9015748031496063,0.9252525252525252,254
xgboost,fault,0.9806651198762568,0.990625,0.9856198989506413,1280
isolation_forest,normal,0.16682554814108674,0.6889763779527559,0.2686108979278588,254
isolation_forest,fault,0.8371134020618557,0.3171875,0.460056657223796,1280
autoencoder,normal,0.21087533156498675,0.6259842519685039,0.31547619047619047,254
autoencoder,fault,0.8782051282051282,0.53515625,0.6650485436893204,1280
rule_based,normal,0.2560483870967742,1.0,0.40770465489566615,254
rule_based,fault,1.0,0.4234375,0.5949506037321625,1280
