model,label,precision,recall,f1,support
random_forest,normal,0.9629629629629629,0.9212598425196851,0.9416498993963782,254
random_forest,fault,0.9845081332300543,0.99296875,0.9887203422792687,1280
svm,normal,0.9183673469387755,0.8858267716535433,0.9018036072144289,254
svm,fault,0.9775019394879751,0.984375,0.9809264305177112,1280
xgboost,normal,0.950207468879668,0.9015748031496063,0.9252525252525252,254
xgboost,fault,0.9806651198762568,0.990625,0.9856198989506413,1280
isolation_forest,normal,0.1228813559322034,0.6850393700787402,0.20838323353293414,254
isolation_forest,fault,0.3220338983050847,0.0296875,0.05436337625178827,1280
autoencoder,normal,0.21345407503234154,0.6496062992125984,0.3213242453748783,254
autoencoder,fault,0.8830486202365309,0.525,0.658500734933856,1280
rule_based,normal,0.24708171206225682,1.0,0.3962558502340094,254
rule_based,fault,1.0,0.3953125,0.5666293393057111,1280
