model,held_out_scenario,n_test,accuracy,f1_macro,note
random_forest,EB_1M_m,41,1.0,1.0,
random_forest,EB_1M_tu,43,1.0,1.0,
random_forest,EB_2M_m,40,0.525,0.3442622950819672,
random_forest,EB_2M_tu,47,1.0,1.0,
random_forest,EB_3M_m,39,0.8461538461538461,0.4583333333333333,
random_forest,EB_3M_tu,39,1.0,1.0,
random_forest,EB_4M_m,46,0.9130434782608695,0.4772727272727273,
random_forest,EB_4M_tu,43,0.9534883720930233,0.4880952380952381,
random_forest,EB_5M_m,41,0.6097560975609756,0.3787878787878788,
random_forest,EB_5M_tu,50,0.94,0.4845360824742268,
random_forest,ED_120ms_m,42,1.0,1.0,
random_forest,ED_120ms_tu,51,1.0,1.0,
random_forest,ED_160ms_m,45,1.0,1.0,
random_forest,ED_160ms_tu,45,1.0,1.0,
random_forest,ED_200ms_m,45,1.0,1.0,
random_forest,ED_200ms_tu,46,1.0,1.0,
random_forest,ED_50ms_m,50,1.0,1.0,
random_forest,ED_50ms_tu,39,0.9487179487179487,0.4868421052631579,
random_forest,ED_80ms_m,41,1.0,1.0,
random_forest,ED_80ms_tu,42,1.0,1.0,
random_forest,EL_12pct_m,40,0.6,0.375,
random_forest,EL_12pct_tu,46,0.9347826086956522,0.48314606741573035,
random_forest,EL_16pct_m,38,0.8947368421052632,0.4722222222222222,
random_forest,EL_16pct_tu,38,1.0,1.0,
random_forest,EL_20pct_m,39,0.6666666666666666,0.4,
random_forest,EL_20pct_tu,37,0.8648648648648649,0.463768115942029,
random_forest,EL_5pct_m,40,0.975,0.4936708860759494,
random_forest,EL_5pct_tu,42,0.8095238095238095,0.4473684210526316,
random_forest,EL_8pct_m,44,0.9772727272727273,0.4942528735632184,
random_forest,EL_8pct_tu,41,1.0,1.0,
random_forest,EN_high,46,1.0,1.0,
random_forest,EN_http,54,0.7222222222222222,0.2795698924731183,
random_forest,EN_low,39,1.0,1.0,
random_forest,EN_ping,39,1.0,1.0,
random_forest,EN_tcp,38,1.0,1.0,
random_forest,EN_udp,38,1.0,1.0,
random_forest,_pooled,1534,0.9230769230769231,0.9260300373866429,
svm,EB_1M_m,41,1.0,1.0,
svm,EB_1M_tu,43,0.9069767441860465,0.3170731707317073,
svm,EB_2M_m,40,0.875,0.4666666666666667,
svm,EB_2M_tu,47,0.9361702127659575,0.4835164835164835,
svm,EB_3M_m,39,0.8974358974358975,0.47297297297297297,
svm,EB_3M_tu,39,0.9743589743589743,0.4935064935064935,
svm,EB_4M_m,46,0.8043478260869565,0.4457831325301205,
svm,EB_4M_tu,43,0.9069767441860465,0.23780487804878048,
svm,EB_5M_m,41,0.4146341463414634,0.29310344827586204,
svm,EB_5M_tu,50,0.72,0.4186046511627907,
svm,ED_120ms_m,42,1.0,1.0,
svm,ED_120ms_tu,51,0.9803921568627451,0.49504950495049505,
svm,ED_160ms_m,45,1.0,1.0,
svm,ED_160ms_tu,45,1.0,1.0,
svm,ED_200ms_m,45,1.0,1.0,
svm,ED_200ms_tu,46,1.0,1.0,
svm,ED_50ms_m,50,0.6,0.1875,
svm,ED_50ms_tu,39,0.9487179487179487,0.4868421052631579,
svm,ED_80ms_m,41,1.0,1.0,
svm,ED_80ms_tu,42,1.0,1.0,
svm,EL_12pct_m,40,0.9,0.47368421052631576,
svm,EL_12pct_tu,46,0.8043478260869565,0.4457831325301205,
svm,EL_16pct_m,38,0.868421052631579,0.4647887323943662,
svm,EL_16pct_tu,38,0.8421052631578947,0.45714285714285713,
svm,EL_20pct_m,39,0.6410256410256411,0.390625,
svm,EL_20pct_tu,37,0.918918918918919,0.4788732394366197,
svm,EL_5pct_m,40,0.95,0.3247863247863248,
svm,EL_5pct_tu,42,0.8333333333333334,0.45454545454545453,
svm,EL_8pct_m,44,0.9090909090909091,0.31746031746031744,
svm,EL_8pct_tu,41,0.8292682926829268,0.4533333333333333,
svm,EN_high,46,1.0,1.0,
svm,EN_http,54,0.7777777777777778,0.21875,
svm,EN_low,39,1.0,1.0,
svm,EN_ping,39,1.0,1.0,
svm,EN_tcp,38,1.0,1.0,
svm,EN_udp,38,0.7105263157894737,0.27692307692307694,
svm,_pooled,1534,0.8859191655801826,0.8893640409161023,
xgboost,EB_1M_m,41,1.0,1.0,
xgboost,EB_1M_tu,43,1.0,1.0,
xgboost,EB_2M_m,40,0.675,0.40298507462686567,
xgboost,EB_2M_tu,47,1.0,1.0,
xgboost,EB_3M_m,39,0.8205128205128205,0.4507042253521127,
xgboost,EB_3M_tu,39,1.0,1.0,
xgboost,EB_4M_m,46,0.9782608695652174,0.4945054945054945,
xgboost,EB_4M_tu,43,0.9534883720930233,0.4880952380952381,
xgboost,EB_5M_m,41,0.6585365853658537,0.39705882352941174,
xgboost,EB_5M_tu,50,0.9,0.47368421052631576,
