protocol,model,fold,heldout_scenario,heldout_label,n_test_snapshots,n_test_runs,snapshot_accuracy,snapshot_f1_macro,episode_detection_rate,normal_false_alert_rate,median_time_to_alert_sec
leave_one_scenario_out_realtime,RandomForest,0,ddos_icmp_multi_h4h6_h1h3,ddos,631,1,0.9873217115689382,0.33120680489101545,1.0,,5.0
leave_one_scenario_out_realtime,XGBoost,0,ddos_icmp_multi_h4h6_h1h3,ddos,631,1,0.9746434231378764,0.3290529695024077,1.0,,5.0
leave_one_scenario_out_realtime,RandomForest,1,ddos_syn_multi_h4h5_h1h2,ddos,3582,2,1.0,0.3333333333333333,1.0,,5.0
leave_one_scenario_out_realtime,XGBoost,1,ddos_syn_multi_h4h5_h1h2,ddos,3582,2,1.0,0.3333333333333333,1.0,,5.0
leave_one_scenario_out_realtime,RandomForest,2,ddos_syn_multiport_h4_h1,ddos,13481,2,0.1484311252874416,0.08616457821986823,1.0,,5.5
leave_one_scenario_out_realtime,XGBoost,2,ddos_syn_multiport_h4_h1,ddos,13481,2,0.16237667828796085,0.09312912146351841,1.0,,5.5
leave_one_scenario_out_realtime,RandomForest,3,ddos_syn_multiport_multi_h4h6_h1h3,ddos,14087,2,0.12593171008731455,0.07456444528508081,1.0,,6.5
leave_one_scenario_out_realtime,XGBoost,3,ddos_syn_multiport_multi_h4h6_h1h3,ddos,14087,2,0.19990061759068645,0.11106509692559506,1.0,,6.5
leave_one_scenario_out_realtime,RandomForest,4,ddos_syn_single_h4_h1,ddos,3582,2,0.6694584031267449,0.2673355629877369,1.0,,6.5
leave_one_scenario_out_realtime,XGBoost,4,ddos_syn_single_h4_h1,ddos,3582,2,0.7160804020100503,0.2781844802342606,1.0,,6.5
leave_one_scenario_out_realtime,RandomForest,5,ddos_udp_h5_h1,ddos,1830,1,0.9989071038251366,0.3331510843812648,1.0,,6.0
leave_one_scenario_out_realtime,XGBoost,5,ddos_udp_h5_h1,ddos,1830,1,0.9989071038251366,0.3331510843812648,1.0,,6.0
leave_one_scenario_out_realtime,RandomForest,6,ddos_udp_multi_h5h6_h2h3,ddos,2,1,1.0,0.3333333333333333,0.0,,
leave_one_scenario_out_realtime,XGBoost,6,ddos_udp_multi_h5h6_h2h3,ddos,2,1,1.0,0.3333333333333333,0.0,,
leave_one_scenario_out_realtime,RandomForest,7,normal_mesh_ping_iperf_http_a,normal,2166,2,0.8541089566020313,0.30710491367861886,,1.0,
leave_one_scenario_out_realtime,XGBoost,7,normal_mesh_ping_iperf_http_a,normal,2166,2,0.8522622345337026,0.30674642738451313,,1.0,
leave_one_scenario_out_realtime,RandomForest,8,normal_mesh_ping_iperf_http_b,normal,1736,2,0.847926267281106,0.3059019118869493,,1.0,
leave_one_scenario_out_realtime,XGBoost,8,normal_mesh_ping_iperf_http_b,normal,1736,2,0.8502304147465438,0.30635118306351183,,1.0,
leave_one_scenario_out_realtime,RandomForest,9,normal_mesh_udp_tcp_c,normal,228,2,0.5964912280701754,0.2490842490842491,,1.0,
