scenario_id,label,n_runs,n_poll_rows,n_unique_5tuples,poll_to_tuple_ratio
ddos_icmp_multi_h4h6_h1h3,ddos,5,4268,4260,1.0018779342723005
ddos_syn_multi_h4h5_h1h2,ddos,6,12314,8471,1.4536654468185575
ddos_syn_multiport_h4_h1,ddos,6,22683,16916,1.340919839205486
ddos_syn_multiport_multi_h4h6_h1h3,ddos,5,21791,12493,1.7442567837989273
ddos_syn_single_h4_h1,ddos,6,13544,9463,1.4312585860720701
ddos_syn_slow_h4_h2,ddos,4,5206,5206,1.0
ddos_udp_h5_h1,ddos,5,6146,4455,1.3795735129068463
ddos_udp_multi_h5h6_h2h3,ddos,5,5284,5283,1.0001892863903086
ddos_udp_multiport_h5_h2,ddos,2,2412,2412,1.0
normal_mesh_ping_iperf_http_a,normal,44,77193,13959,5.529980657640232
normal_mesh_ping_iperf_http_b,normal,44,80010,15811,5.0604009866548605
normal_mesh_udp_tcp_c,normal,44,41029,7565,5.423529411764706
normal_ping_iperf_light,normal,3,578,67,8.626865671641792
portscan_connect_h6_h3_p20_120_r60,portscan,5,5099,1014,5.0285996055226825
portscan_nmap_h4_h1,portscan,3,156,67,2.328358208955224
portscan_nmap_h5_h2,portscan,3,11575,1578,7.335234474017744
portscan_syn_h4_h1_p1_128_r80,portscan,5,6208,1604,3.8703241895261846
portscan_syn_h5_h2_top20_r40,portscan,2,275,44,6.25
portscan_syn_h5_h3_p1_96_r90,portscan,1,1223,334,3.661676646706587
portscan_syn_h5h6_h1h3_p1_64_r50,portscan,4,5248,1024,5.125
portscan_syn_h6_h1_p200_320_r70,portscan,4,4719,1200,3.9325
